"filename", "language", "TypeScript", "JSON", "JavaScript", "SCSS", "TypeScript React", "XML", "JavaScript React", "YAML", "Docker", "comment", "blank", "total"
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\MapContainer\MapWrapper.tsx", "TypeScript React", 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 4, 28
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\SwipeCarousel\SwipeCarousel.tsx", "TypeScript React", 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, -1, 9
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Services\api.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 54
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Services\apiFunction.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\WaveScript\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\aboutContent.ts", "TypeScript", 460, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 468
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\aboutContent.tsx", "TypeScript React", 0, 0, 0, 0, -325, 0, 0, 0, 0, 0, -11, -336
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\globalContent.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 88
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\information.ts", "TypeScript", -400, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, -420
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\intelligenceInfo.tsx", "TypeScript React", 0, 0, 0, 0, -2126, 0, 0, 0, 0, 0, -1, -2127
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\policies.ts", "TypeScript", 422, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 505
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\productDetailsContent.ts", "TypeScript", 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 335
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\routes.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 39
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\serviceContent.ts", "TypeScript", 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 169
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\serviceContent.tsx", "TypeScript React", 0, 0, 0, 0, -134, 0, 0, 0, 0, 0, -8, -142
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\serviceDetailsContent.ts", "TypeScript", 332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 340
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\slidesInformation.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\about.tsx", "TypeScript React", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, -1, 6
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\contact.tsx", "TypeScript React", 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 0, 10
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\cookiespolicy.tsx", "TypeScript React", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\index.tsx", "TypeScript React", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\[details]\[inteligencedetails]\index.tsx", "TypeScript React", 0, 0, 0, 0, 142, 0, 0, 0, 0, 3, 5, 150
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\[details]\index.tsx", "TypeScript React", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 5, 75
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\details\[inteligencedetails]\index.tsx", "TypeScript React", 0, 0, 0, 0, -142, 0, 0, 0, 0, -3, -5, -150
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\details\index.tsx", "TypeScript React", 0, 0, 0, 0, -42, 0, 0, 0, 0, 0, -4, -46
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\index.tsx", "TypeScript React", 0, 0, 0, 0, 35, 0, 0, 0, 0, 8, 4, 47
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\policydocuments.tsx", "TypeScript React", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\privacypolicy.tsx", "TypeScript React", 0, 0, 0, 0, -229, 0, 0, 0, 0, 0, -4, -233
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\privacypolicy\[privacypolicy]\index.tsx", "TypeScript React", 0, 0, 0, 0, 19, 0, 0, 0, 0, 59, 5, 83
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\privacypolicy\index.tsx", "TypeScript React", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\scamalert.tsx", "TypeScript React", 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 1, -9
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\index.tsx", "TypeScript React", 0, 0, 0, 0, 34, 0, 0, 0, 0, -1, 0, 33
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\ourproducts\[products].tsx", "TypeScript React", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\ourservices\[services].tsx", "TypeScript React", 0, 0, 0, 0, 87, 0, 0, 0, 0, 2, 2, 91
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\termsofuse.tsx", "TypeScript React", 0, 0, 0, 0, -197, 0, 0, 0, 0, 214, -1, 16
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\index.tsx", "TypeScript React", 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 1, 6
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Details.module.scss", "SCSS", 0, 0, 0, 77, 0, 0, 0, 0, 0, 4, 0, 81
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Footer.module.scss", "SCSS", 0, 0, 0, -6, 0, 0, 0, 0, 0, 2, 0, -4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\HeroSection.module.scss", "SCSS", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\InputComponent.module.scss", "SCSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\LoginForm.module.scss", "SCSS", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\ServiceCard.module.scss", "SCSS", 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -6
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Services.module.scss", "SCSS", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 0, 20
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\globals.scss", "SCSS", 0, 0, 0, 621, 0, 0, 0, 0, 0, 4, 6, 631
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\inteligenceCountry.module.scss", "SCSS", 0, 0, 0, 253, 0, 0, 0, 0, 0, 4, 2, 259
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\variable.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\PHPDots\Desktop\emfi-nextjs\taskdef-dev.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40
"c:\Users\PHPDots\Desktop\emfi-nextjs\type.d.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 82
"Total", "-", 1583, 361, 2, 982, -2119, 364, 130, 55, -19, 349, 185, 1873
